Date,Open,High,Low,Close,Volume,Adj Close
2014-10-29,38.82,38.90,36.96,37.28,5439400,37.28
2014-10-28,38.29,38.78,37.83,38.43,4705900,38.43
2014-10-27,39.90,39.98,37.14,37.76,8482200,37.76
2014-10-24,38.49,39.10,38.20,38.83,5434900,38.83
2014-10-23,37.41,38.90,37.18,38.60,5934500,38.60
2014-10-22,37.66,37.84,36.98,37.76,5678500,37.76
2014-10-21,36.01,37.85,35.87,37.51,7346200,37.51
2014-10-20,36.15,36.67,35.70,36.17,5822100,36.17
2014-10-17,34.69,36.60,34.29,36.19,11200700,36.19
2014-10-16,35.31,35.47,32.44,34.38,15440200,34.38
2014-10-15,36.88,37.24,34.96,35.15,8037900,35.15
2014-10-14,36.77,37.24,36.11,37.06,5308300,37.06
2014-10-13,36.49,37.74,36.31,37.01,5337000,37.01
2014-10-10,37.15,37.96,36.78,36.79,8072300,36.79
2014-10-09,39.19,39.22,37.35,37.65,6195200,37.65
2014-10-08,38.64,39.19,38.26,38.49,4282700,38.49
2014-10-07,39.88,40.06,38.73,38.92,5553000,38.92
2014-10-06,39.98,40.38,39.84,39.97,4268700,39.97
2014-10-03,39.06,39.76,38.81,39.55,4436600,39.55
2014-10-02,40.59,40.62,38.48,38.61,8892300,38.61
2014-10-01,40.20,40.91,40.17,40.67,3889600,40.67
2014-09-30,40.20,40.60,39.97,40.42,5432700,40.42
2014-09-29,40.65,40.74,39.53,40.00,3844000,40.00
2014-09-26,40.54,41.03,40.30,40.67,4130000,40.67
2014-09-25,41.26,41.49,40.22,40.49,5239600,40.49
2014-09-24,40.28,40.98,39.78,40.93,4513800,40.93
2014-09-23,40.76,40.79,39.88,40.19,4794300,40.19
2014-09-22,41.29,41.46,40.69,40.85,3195200,40.85
2014-09-19,42.00,42.10,41.30,41.39,6151900,41.39
2014-09-18,41.20,42.06,41.12,41.54,4984500,41.54
2014-09-17,41.06,41.24,40.78,40.97,3857900,40.97
2014-09-16,41.24,41.24,40.27,40.80,4055100,40.80
2014-09-15,41.58,41.62,41.03,41.29,3004100,41.29
2014-09-12,41.76,41.78,41.40,41.65,2145100,41.65
2014-09-11,41.60,41.67,40.99,41.58,3672400,41.58
2014-09-10,41.00,41.60,40.83,41.30,3782900,41.30
2014-09-09,41.26,41.72,41.03,41.05,3489500,41.05
2014-09-08,41.49,41.83,41.12,41.49,3875200,41.49
2014-09-05,41.06,41.87,40.82,41.41,7236800,41.41
2014-09-04,39.22,41.54,39.18,41.00,10029600,41.00
2014-09-03,38.67,39.65,38.54,39.37,7167700,39.37
2014-09-02,38.36,38.86,38.20,38.38,2991500,38.38
2014-09-01,38.44,38.56,37.70,38.31,3291800,38.31
2014-08-29,38.63,38.99,38.09,38.56,3203300,38.56
2014-08-28,39.22,39.37,38.35,38.54,4457000,38.54
2014-08-27,39.35,39.69,39.08,39.37,4063000,39.37
2014-08-26,38.65,39.39,38.61,39.31,4907300,39.31
